"country","confirmed","death","recovered"
"Afghanistan",1828,21,179
"Algeria",3649,313,1355
"Argentina",4127,97,919
"Armenia",1867,14,659
"Australia",6744,61,5047
"Austria",15357,368,11694
"Azerbaijan",1717,12,948
"Bahrain",2811,6,1082
"Bangladesh",6462,39,108
"Belarus",12208,29,938
"Belgium",47334,3903,9800
"Bolivia",1014,27,44
"Bosnia and Herzegovina",1585,39,485
"Brazil",73235,1328,26573
"Bulgaria",1399,32,190
"Cameroon",1705,12,668
"Canada",51150,781,14761
"Chile",14365,82,5804
"China",83940,3345,77983
"Colombia",5949,112,927
"Cote d'Ivoire",1183,6,359
"Croatia",2047,25,883
"Cuba",1437,21,365
"Czechia",7504,143,2152
"Denmark",9049,285,5573
"Djibouti",1072,2,252
"Dominican Republic",6416,177,581
"Ecuador",24258,355,1328
"Egypt",5042,164,1004
"Estonia",1660,28,192
"Finland",4740,59,2000
"France",169053,14986,42762
"Germany",159912,3194,103300
"Ghana",1671,8,99
"Greece",2566,99,577
"Guinea",1240,0,170
"Hungary",2649,109,390
"Iceland",1795,8,1509
"India",31324,358,5012
"Indonesia",9511,399,960
"Iran",92584,4585,64843
"Iraq",1928,78,1171
"Ireland",19877,365,9233
"Israel",15728,116,5611
"Italy",201505,20465,57576
"Japan",13736,123,1494
"Kazakhstan",3027,12,560
"Korea, South",10761,217,8501
"Kuwait",3440,2,498
"Lithuania",1344,24,399
"Luxembourg",3741,69,728
"Malaysia",5851,77,3542
"Mexico",16752,332,2627
"Moldova",3638,35,661
"Morocco",4252,126,456
"Netherlands",38612,2833,101
"New Zealand",1474,5,1095
"Nigeria",1532,10,197
"North Macedonia",1421,38,301
"Norway",7660,134,32
"Oman",2131,4,307
"Pakistan",14612,93,2527
"Panama",6021,87,271
"Peru",31190,216,7422
"Philippines",7958,315,722
"Poland",12218,245,1740
"Portugal",24322,535,1201
"Qatar",11921,7,750
"Romania",11616,331,2478
"Russia",93558,148,4891
"Saudi Arabia",20077,65,1925
"Serbia",6630,85,870
"Singapore",14951,9,924
"Slovakia",1384,2,288
"Slovenia",1408,55,211
"South Africa",4996,27,1473
"Spain",232128,17756,89250
"Sweden",19621,919,550
"Switzerland",29264,1138,20600
"Thailand",2938,40,2430
"Turkey",114653,1296,18491
"Ukraine",9410,93,504
"United Arab Emirates",11380,25,1637
"United Kingdom",162350,11347,712
"US",1012582,27870,80203
"Uzbekistan",1939,4,561
