"dates","rec"
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,27
2020-03-12,27
2020-03-13,27
2020-03-14,27
2020-03-15,21
2020-03-16,27
2020-03-17,32
2020-03-18,32
2020-03-19,32
2020-03-20,39
2020-03-21,41
2020-03-22,56
2020-03-23,56
2020-03-24,80
2020-03-25,95
2020-03-26,102
2020-03-27,116
2020-03-28,121
2020-03-29,132
2020-03-30,150
2020-03-31,157
2020-04-01,179
2020-04-02,201
2020-04-03,216
2020-04-04,241
2020-04-05,247
2020-04-06,259
2020-04-07,276
2020-04-08,305
2020-04-09,348
2020-04-10,384
2020-04-11,426
2020-04-12,589
2020-04-13,589
2020-04-14,589
2020-04-15,589
2020-04-16,596
2020-04-17,646
2020-04-18,701
2020-04-19,732
2020-04-20,821
2020-04-21,870
2020-04-22,935
2020-04-23,1004
2020-04-24,1075
2020-04-25,1114
2020-04-26,1176
2020-04-27,1236
2020-04-28,1304
